TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
32444TRNCX200AB,-85.619,30.228,False,12,005,001301,12,12005,12005001301,1400000US12005001301,TRANE COMMERCIAL SYSTEMS,200 ABERDEEN LOOP,PANAMA CITY,FL,32405,"TRANE COMMERCIAL SYSTEMS.200 ABERDEEN LOOP, PANAMA CITY FLORIDA 32405 (BAY)",0,C,,110006824124
32501CSTLF640SB,-87.209,30.406,False,12,033,000800,12,12033,12033000800,1400000US12033000800,COASTAL FUELS MARKETING INC PENSACOLA TERMINAL,640 S BARRACKS ST,PENSACOLA,FL,32501,"COASTAL FUELS MARKETING INC PENSACOLA TERMINAL.640 S BARRACKS ST, PENSACOLA FLORIDA 32501 (ESCAMBIA)",0,C,,
32542GLNRF501DE,-86.493,30.484,False,12,091,021200,12,12091,12091021200,1400000US12091021200,U.S. DOD USAF EGLIN AFB FL,700 RANGE RD BLDG 592,EGLIN AFB,FL,32542,"U.S. DOD USAF EGLIN AFB FL.700 RANGE RD BLDG 592, EGLIN AFB FLORIDA 32542 (OKALOOSA)",0,F,,110021362023
32601GNSVL605SE,-82.321,29.647,False,12,001,000500,12,12001,12001000500,1400000US12001000500,GAINESVILLE REGIONAL UTILITIES J R KELLY GENERATING STATION,605 SE THIRD ST,GAINESVILLE,FL,32601,"GAINESVILLE REGIONAL UTILITIES J R KELLY GENERATING STATION.605 SE THIRD ST, GAINESVILLE FLORIDA 32601 (ALACHUA)",0,C,,110001736925
32669FLRDR4000N,-82.58200000000001,29.691,False,12,001,002201,12,12001,12001002201,1400000US12001002201,ARGOS NEWBERRY PLANT,4000 NW COUNTY RD 235,NEWBERRY,FL,32669,"ARGOS NEWBERRY PLANT.4000 NW COUNTY RD 235, NEWBERRY FLORIDA 32669 (ALACHUA)",0,C,,110008056370
32713FLRDP176WH,-81.332,28.904,False,12,127,090803,12,12127,12127090803,1400000US12127090803,DUKE ENERGY FLORIDA LLC-DEBARY POWER PLANT,176 W HIGHBANKS RD,DEBARY,FL,32713,"DUKE ENERGY FLORIDA LLC-DEBARY POWER PLANT.176 W HIGHBANKS RD, DEBARY FLORIDA 32713 (VOLUSIA)",0,C,,110012446317
32746BBPWR655CE,-81.352,28.776999999999997,False,12,117,020805,12,12117,12117020805,1400000US12117020805,ABB INC.,655 CENTURY POINT,LAKE MARY,FL,327462137,"ABB INC..655 CENTURY POINT, LAKE MARY FLORIDA 32746 (SEMINOLE)",0,C,,110005655816
32746SMNSN400RI,-81.35300000000001,28.771,False,12,117,020805,12,12117,12117020805,1400000US12117020805,SIEMENS INFORMATION & COMMUNICATION NETWORKS INC,400 RINEHART RD,LAKE MARY,FL,32746,"SIEMENS INFORMATION & COMMUNICATION NETWORKS INC.400 RINEHART RD, LAKE MARY FLORIDA 32746 (SEMINOLE)",0,C,,
32904RCCMN4317J,-80.697,28.095,False,12,009,064601,12,12009,12009064601,1400000US12009064601,AERC RECYCLING SOLUTIONS,4317-J FORTUNE PL,WEST MELBOURNE,FL,32904,"AERC RECYCLING SOLUTIONS.4317-J FORTUNE PL, WEST MELBOURNE FLORIDA 32904 (BREVARD)",1,C,,110013953702
32904MRTRN7800T,-80.686,28.099,False,12,009,064601,12,12009,12009064601,1400000US12009064601,AMERTRON INC,7800 TECHNOLOGY DRIVE,WEST MELBOURNE,FL,32904,"AMERTRON INC.7800 TECHNOLOGY DRIVE, WEST MELBOURNE FLORIDA 32904 (BREVARD)",0,C,,
32904MSFCN7703T,-80.686,28.098000000000003,False,12,009,064601,12,12009,12009064601,1400000US12009064601,MSI OF CENTRAL FLORIDA INC,7703 TECHNOLOGY DR STE 102,MELBOURNE,FL,32904,"MSI OF CENTRAL FLORIDA INC.7703 TECHNOLOGY DR STE 102, MELBOURNE FLORIDA 32904 (BREVARD)",0,C,,110012706456
3290WMCKTC755TE,-80.684,28.096999999999998,False,12,009,064601,12,12009,12009064601,1400000US12009064601,MACK TECHNOLOGIES INC,7505 TECHNOLOGY DRIVE,MELBOURNE,FL,32904,"MACK TECHNOLOGIES INC.7505 TECHNOLOGY DRIVE, MELBOURNE FLORIDA 32904 (BREVARD)",0,C,,110035654495
33018CMMNT14005,-80.428,25.941999999999997,False,12,086,012400,12,12086,12086012400,1400000US12086012400,COMMUNITY ASPHALT CORP MIAMI PLANT,14005 NW 186TH ST,HIALEAH,FL,33018,"COMMUNITY ASPHALT CORP MIAMI PLANT.14005 NW 186TH ST, HIALEAH FLORIDA 33018 (MIAMI-DADE)",0,C,,
33109CSTLFONEBS,-80.143,25.764,False,12,086,004500,12,12086,12086004500,1400000US12086004500,COASTAL FUELS MARKETING INC FISHER ISLAND TERMINAL,ONE B ST FISHER ISLAND,MIAMI BEACH,FL,33109,"COASTAL FUELS MARKETING INC FISHER ISLAND TERMINAL.ONE B ST FISHER ISLAND, MIAMI BEACH FLORIDA 33109 (MIAMI-DADE)",0,C,,
33182CSRMR1200N,-80.421,25.785999999999998,False,12,086,014100,12,12086,12086014100,1400000US12086014100,CEMEX MIAMI,1200 NW 137 AVE,MIAMI,FL,33182,"CEMEX MIAMI.1200 NW 137 AVE, MIAMI FLORIDA 33182 (MIAMI-DADE)",0,C,,110007417205
3318WFLRDR1221N,-80.393,25.798000000000002,False,12,086,014100,12,12086,12086014100,1400000US12086014100,ARGOS MIAMI READY MIX & BLOCK PLANT,12201 N. W. 25TH STREET,MIAMI,FL,33182,"ARGOS MIAMI READY MIX & BLOCK PLANT.12201 N. W. 25TH STREET, MIAMI FLORIDA 33182 (MIAMI-DADE)",0,C,,110008330797
