TRI_CHEM_INFO.TRI_CHEM_ID,TRI_CHEM_INFO.CHEM_NAME,TRI_CHEM_INFO.ACTIVE_DATE,TRI_CHEM_INFO.INACTIVE_DATE,TRI_CHEM_INFO.CAAC_IND,TRI_CHEM_INFO.CARC_IND,TRI_CHEM_INFO.R3350_IND,TRI_CHEM_INFO.METAL_IND,TRI_CHEM_INFO.FEDS_IND,TRI_CHEM_INFO.CLASSIFICATION,TRI_CHEM_INFO.PBT_START_YEAR,TRI_CHEM_INFO.PBT_END_YEAR,TRI_CHEM_INFO.NO_DECIMALS,TRI_CHEM_INFO.UNIT_OF_MEASURE,TRI_CHEM_INFO.CAS_REGISTRY_NUMBER,TRI_CHEM_INFO.SRS_ID,TRI_CHEM_INFO.DEFAULT_PERCENTAGE_TO_81C,TRI_CHEM_INFO.DEFAULT_PERCENTAGE_TO_81D,TRI_CHEM_INFO.DEFAULT_PERCENTAGE_TO_87,TRI_CHEM_INFO.PFAS_IND,
"0000051752","Nitrogen mustard","1987","9999","0","1","0","0","0","0","","","","Pounds","51-75-2","1461","0","0","100","0"
"0000099309","Dichloran","1995","9999","0","0","0","0","0","0","","","","Pounds","99-30-9","18630","0","0","100","0"
"0000109068","2-Methylpyridine","1994","9999","0","0","0","0","0","0","","","","Pounds","109-06-8","25601","0","8","92","0"
"0064969342","3,3'-Dichlorobenzidine sulfate","1995","9999","0","1","0","0","0","0","","","","Pounds","64969-34-2","343079","0","0","100","0"
"0000612839","3,3'-Dichlorobenzidine dihydrochloride","1995","9999","0","1","0","0","0","0","","","","Pounds","612-83-9","60129","9","32","59","0"
"NA","NA","1987","9999","0","0","0","0","0","0","","","","Pounds","NA","","","","","0"
"N010","Antimony compounds","1987","9999","1","0","0","1","0","0","","","","Pounds","N010","649921","32","68","0","0"
"N020","Arsenic compounds","1987","9999","1","0","0","1","0","0","","","","Pounds","N020","649418","49","51","0","0"
"N050","Beryllium compounds","1987","9999","1","1","0","1","0","0","","","","Pounds","N050","649947","37","63","0","0"
"N084","Chlorophenols","1987","9999","0","1","0","0","0","0","","","","Pounds","N084","650291","54","4","42","0"
"N096","Cobalt compounds","1987","9999","1","0","0","1","0","0","","","","Pounds","N096","649970","32","68","0","0"
"N171","Ethylenebisdithiocarbamic acid, salts and esters","1994","9999","0","0","0","0","0","0","","","","Pounds","N171","649889","2","98","0","0"
"N450","Manganese compounds","1987","9999","1","0","0","1","0","0","","","","Pounds","N450","650010","39","61","0","0"
"N503","Nicotine and salts","1995","9999","0","0","0","0","0","0","","","","Pounds","N503","649897","2","98","0","0"
"N575","Polybrominated biphenyls","1987","9999","0","1","0","0","0","0","","","","Pounds","N575","761288","0","0","100","0"
"N583","Polychlorinated alkanes (C10-C13)","1995","9999","0","0","0","0","0","0","","","","Pounds","N583","1737085","0","0","100","0"
"N725","Selenium compounds","1987","9999","1","0","0","1","0","0","","","","Pounds","N725","650044","44","56","0","0"
"0000050000","Formaldehyde","1987","9999","1","1","0","0","0","0","","","","Pounds","50-00-0","1008","0","8","92","0"
"0000052686","Trichlorfon","1987","9999","0","0","0","0","0","0","","","","Pounds","52-68-6","1586","0","8","92","0"
"0000055389","Fenthion","1995","9999","0","0","0","0","0","0","","","","Pounds","55-38-9","1909","0","0","100","0"
"0000055630","Nitroglycerin","1987","9999","0","0","0","0","0","0","","","","Pounds","55-63-0","1941","1","24","75","0"
"0000056359","Bis(tributyltin) oxide","1995","9999","0","0","0","2","0","0","","","","Pounds","56-35-9","2113","0","0","100","0"
"0000057410","Phenytoin","1995","9999","0","1","0","0","0","0","","","","Pounds","57-41-0","2535","2","51","47","0"
"0000057749","Chlordane","1987","9999","1","1","0","0","0","1","2000","9999","7","Pounds","57-74-9","2683","61","1","38","0"
"0000060093","4-Aminoazobenzene","1987","9999","0","1","0","0","0","0","","","","Pounds","60-09-3","3244","8","35","57","0"
"0000060355","Acetamide","1987","9999","1","1","0","0","0","0","","","","Pounds","60-35-5","3384","0","8","92","0"
"0000060515","Dimethoate","1995","9999","0","0","0","0","0","0","","","","Pounds","60-51-5","3400","1","55","44","0"
"0000062737","Dichlorvos","1987","9999","1","1","0","0","0","0","","","","Pounds","62-73-7","3681","1","25","74","0"
"0000064755","Tetracycline hydrochloride","1995","9999","0","0","0","0","0","0","","","","Pounds","64-75-5","3905","1","55","44","0"
"0000067663","Chloroform","1987","9999","1","1","1","0","0","0","","","","Pounds","67-66-3","4317","1","73","26","0"
"0000068768","Triaziquone","1987","9999","0","0","0","0","0","0","","","","Pounds","68-76-8","4473","0","0","100","0"
"0000071556","1,1,1-Trichloroethane","1987","9999","1","0","1","0","0","0","","","","Pounds","71-55-6","4796","1","95","4","0"
"0000072571","Trypan blue","1994","9999","0","1","0","0","0","0","","","","Pounds","72-57-1","4960","1","55","44","0"
"0000074884","Methyl iodide","1987","9999","1","0","0","0","0","0","","","","Pounds","74-88-4","5124","1","78","21","0"
"0000074908","Hydrogen cyanide","1987","9999","0","0","1","0","0","0","","","","Pounds","74-90-8","5140","2","98","0","0"
"0000075003","Chloroethane","1987","9999","1","0","0","0","0","0","","","","Pounds","75-00-3","5223","1","85","14","0"
"0000075092","Dichloromethane","1987","9999","1","1","1","0","0","0","","","","Pounds","75-09-2","5306","1","44","55","0"
"0000075354","Vinylidene chloride","1987","9999","1","0","0","0","0","0","","","","Pounds","75-35-4","5538","1","91","8","0"
"0000075456","Chlorodifluoromethane (HCFC-22)","1994","9999","0","0","0","0","0","0","","","","Pounds","75-45-6","5595","1","88","11","0"
"0000075683","1-Chloro-1,1-difluoroethane (HCFC-142b)","1994","9999","0","0","0","0","0","0","","","","Pounds","75-68-3","5777","1","98","1","0"
"0000075729","Chlorotrifluoromethane (CFC-13)","1995","9999","0","0","0","0","0","0","","","","Pounds","75-72-9","5819","0","99","1","0"
"0000076017","Pentachloroethane","1994","9999","0","0","0","0","0","0","","","","Pounds","76-01-7","6056","6","75","19","0"
"0000076062","Chloropicrin","1995","9999","0","0","0","0","0","0","","","","Pounds","76-06-2","6106","1","88","11","0"
"0000076142","Dichlorotetrafluoroethane (CFC-114)","1991","9999","0","0","0","0","0","0","","","","Pounds","76-14-2","6155","2","97","1","0"
"0000076448","Heptachlor","1987","9999","1","1","0","0","0","1","2000","9999","7","Pounds","76-44-8","6262","50","1","49","0"
"0000077781","Dimethyl sulfate","1987","9999","1","1","0","0","0","0","","","","Pounds","77-78-1","6684","0","3","97","0"
"0000078875","1,2-Dichloropropane","1987","9999","1","1","0","0","0","0","","","","Pounds","78-87-5","7393","1","70","29","0"
"0000078922","sec-Butyl alcohol","1987","9999","0","0","0","0","0","0","","","","Pounds","78-92-2","7435","0","8","92","0"
"0000078933","Methyl ethyl ketone","1987","2003","0","0","1","0","0","0","","","","Pounds","78-93-3","7443","0","0","100","0"
"0000079005","1,1,2-Trichloroethane","1987","9999","1","0","0","0","0","0","","","","Pounds","79-00-5","7518","1","82","17","0"
"0000079118","Chloroacetic acid","1987","9999","1","0","0","0","0","0","","","","Pounds","79-11-8","7625","0","8","92","0"
"0000079447","Dimethylcarbamoyl chloride","1987","9999","1","1","0","0","0","0","","","","Pounds","79-44-7","7864","0","0","100","0"
"0000080159","Cumene hydroperoxide","1987","9999","0","0","0","0","0","0","","","","Pounds","80-15-9","8185","1","24","75","0"
"0000082280","1-Amino-2-methylanthraquinone","1987","9999","0","1","0","0","0","0","","","","Pounds","82-28-0","9175","0","0","100","0"
"0000082688","Quintozene","1987","9999","1","0","0","0","0","0","","","","Pounds","82-68-8","9373","43","11","46","0"
