field,type,nullable,comment,metadata
000924425,float,True,N-METHYLOLACRYLAMIDE,'metadata': {'comment': 'N-METHYLOLACRYLAMIDE'}
000077474,float,True,HEXACHLOROCYCLOPENTADIENE,'metadata': {'comment': 'HEXACHLOROCYCLOPENTADIENE'}
000099592,float,True,5-NITRO-O-ANISIDINE,'metadata': {'comment': '5-NITRO-O-ANISIDINE'}
000759739,float,True,N-NITROSO-N-ETHYLUREA,'metadata': {'comment': 'N-NITROSO-N-ETHYLUREA'}
039300453,float,True,DINOCAP,'metadata': {'comment': 'DINOCAP'}
000108054,float,True,VINYL ACETATE,'metadata': {'comment': 'VINYL ACETATE'}
028057489,float,True,D-TRANS-ALLETHRIN,'metadata': {'comment': 'D-TRANS-ALLETHRIN'}
033089611,float,True,AMITRAZ,'metadata': {'comment': 'AMITRAZ'}
000110576,float,True,"TRANS-1,4-DICHLORO-2-BUTENE","'metadata': {'comment': 'TRANS-1,4-DICHLORO-2-BUTENE'}"
000191242,float,True,"BENZO(G,H,I)PERYLENE","'metadata': {'comment': 'BENZO(G,H,I)PERYLENE'}"
N090,float,True,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),'metadata': {'comment': 'CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION)'}
N230,float,True,CERTAIN GLYCOL ETHERS,'metadata': {'comment': 'CERTAIN GLYCOL ETHERS'}
N746,float,True,STRYCHNINE AND SALTS,'metadata': {'comment': 'STRYCHNINE AND SALTS'}
000057578,float,True,BETA-PROPIOLACTONE,'metadata': {'comment': 'BETA-PROPIOLACTONE'}
000064675,float,True,DIETHYL SULFATE,'metadata': {'comment': 'DIETHYL SULFATE'}
000074851,float,True,ETHYLENE,'metadata': {'comment': 'ETHYLENE'}
000075070,float,True,ACETALDEHYDE,'metadata': {'comment': 'ACETALDEHYDE'}
000075638,float,True,BROMOTRIFLUOROMETHANE,'metadata': {'comment': 'BROMOTRIFLUOROMETHANE'}
000077736,float,True,DICYCLOPENTADIENE,'metadata': {'comment': 'DICYCLOPENTADIENE'}
000079196,float,True,THIOSEMICARBAZIDE,'metadata': {'comment': 'THIOSEMICARBAZIDE'}
000092524,float,True,BIPHENYL,'metadata': {'comment': 'BIPHENYL'}
000094804,float,True,"2,4-D BUTYL ESTER","'metadata': {'comment': '2,4-D BUTYL ESTER'}"
000096333,float,True,METHYL ACRYLATE,'metadata': {'comment': 'METHYL ACRYLATE'}
